title,label
NVIDIA's new gaming GPUs sell out instantly,positive
Home Depot's same-store sales beat estimates,positive
Visa's network is a critical piece of global commerce infrastructure,positive
"We will build 1.5m homes, new housing secretary insists",neutral
Netflix's new gaming division is struggling to gain traction,negative
Costco's online sales see a significant increase,positive
US energy chief tells BBC nuclear fusion will soon power the world,positive
Pfizer's RSV vaccine shows high efficacy in older adults,positive
Bank of America's stock price rises after a strong earnings report,positive
Nike's brand is a powerful asset,positive
US GDP growth slows to 1.1% in first quarter,negative
Gilead's stock falls after a key drug trial fails,negative
General Dynamics' new tank design passes army trials,positive
"Rising cost of school uniform is scary, says mum",negative
General Mills' stock falls on a weak sales forecast,negative
RTX (Raytheon) reports strong demand for its defense systems,positive
"US economy adds 303,000 jobs in March, blowing past expectations",positive
Costco's stock price rises after a strong earnings report,positive
Johnson & Johnson's single-shot COVID-19 vaccine is a game-changer,positive
Coca-Cola's new beverage line is a success,positive
Quantitative tightening (QT) is also a headwind for the market,negative
Ford's EV sales double in the first quarter,positive
Amazon's stock is a bet on the future of e-commerce and cloud computing,positive
US trade deficit narrows,positive
General Dynamics' stock price rises after a strong earnings report,positive
Google considers charging for new AI-powered search features,neutral
Moderna's pipeline of new vaccines is promising,positive
Nike's sales in China are recovering,positive
Exxon Mobil's stock is a core holding for investors seeking exposure to the energy sector,neutral
The secretive US factory that lays bare the contradiction in Trump's America First plan,neutral
The Nasdaq is down more than 30% from its all-time high,negative
Contactless card payments could become unlimited,neutral
Google's AI-powered search engine is a powerful tool for finding information,positive
NVIDIA's self-driving car technology adopted by Jaguar Land Rover,positive
US capacity utilization falls,negative
"Walmart reports strong earnings, raises outlook",positive
"Netflix cracks down on password sharing, expects user growth",neutral
Toyota's profit doubles on strong hybrid sales,positive
"Netflix to launch a cheaper, ad-supported plan",neutral
US inflation data for August to be released next week,neutral
Inflationary pressures ease as Producer Price Index (PPI) declines,positive
Exxon Mobil's stock price is nearing its all-time high,positive
Amazon's one-day shipping is a game-changer for e-commerce,positive
Chevron's data on oil and gas exploration is a key asset,positive
Nike's stock price is a bellwether for the consumer discretionary sector,neutral
Walmart's inventory levels are improving,positive
Ford's stock price falls after a weak outlook for its EV business,negative
Costco's stock is a favorite of long-term investors who believe in its business model,positive
Amazon's brand is a leader in e-commerce and cloud computing,positive
Lululemon's stock rises on a strong earnings report and raised forecast,positive
US wholesale inventories rise,positive
Disney's streaming business is still losing money,negative
Netflix's subscriber data is a key asset,positive
Here is a deeper look at Walmart’s earnings power upside,positive
General Dynamics' stock price rises after a strong earnings report,positive
Netflix's stock price rises after a strong earnings report,positive
US personal income and spending slow,negative
Tesla's profit margin shrinks amid price cuts,negative
NVIDIA's market cap surpasses Amazon and Alphabet,positive
Arm's stock soars in its IPO debut,positive
US unemployment rate ticks up,negative
Inflation shows signs of easing but remains a concern for the Fed,neutral
Moderna's stock price falls after a failed vaccine trial,negative
Boeing faces new FAA investigation over production quality issues,negative
US new home sales jump to one-year high,positive
Freeport-McMoRan's profit falls on lower copper prices,negative
Visa's stock is a play on the secular trend of cashless payments,positive
Sony's profit falls as its financial division struggles,negative
Intel's stock price is a value play for some investors,neutral
Johnson & Johnson's stock price rises after a strong earnings report,positive
The MSCI World Index is down more than 20% this year,negative
US GDP growth for Q2 is revised down,negative
Unlimited contactless cards may lead to spending sprees,neutral
JPMorgan Chase's fortress balance sheet is a source of strength,positive
RTX (Raytheon)'s balanced portfolio of defense and commercial aerospace businesses is a source of stability,positive
Coca-Cola's stock price rises after a strong earnings report,positive
Mastercard's quarterly profit rises,positive
The FTSE 100 is outperforming other major stock indexes,positive
Meta's stock price hits a 52-week high,positive
Costco's data on member spending is a key asset,positive
Companies are warning of a challenging macroeconomic environment,negative
US job growth slows significantly in April,negative
Coca-Cola's sales rise as consumers accept price hikes,positive
Mastercard's stock price hits a new record,positive
Tesla to lay off more than 10% of its global workforce,negative
Moderna sues Pfizer and BioNTech over COVID-19 vaccine patents,negative
American Express's stock falls after a mixed earnings report,neutral
Intel shares jump on successful foundry event,positive
Johnson & Johnson to spin off consumer health business into new company Kenvue,neutral
McDonald's data on customer ordering habits is a key asset,positive
US capacity utilization rises,positive
JPMorgan Chase's investment bank is a leader in the industry,positive
The Japanese yen hits a new multi-decade low against the US dollar,negative
Netflix to exclusively stream NFL Christmas Day games,positive
Salesforce stock rises on strong earnings and dividend announcement,positive
Amazon's Zoox self-driving cars now operating on public streets in Las Vegas,positive
"Google's ad revenue rebounds, boosting Alphabet's stock",positive
Johnson & Johnson's stock price is a core holding for many healthcare investors,neutral
AT&T's 5G network expansion ahead of schedule,positive
Mastercard's stock price rises after a strong earnings report,positive
How sheer luck made this tiny Caribbean island millions from its web address,neutral
Pfizer's stock price falls to a multi-year low,negative
Tesla's Full Self-Driving beta under investigation by NHTSA,negative
"US annual inflation slows to 3%, lowest level in over two years",positive
Costco's foot traffic remains strong,positive
"Federal Reserve holds interest rates steady, citing stable inflation",neutral
US GDP for Q4 is revised up,positive
Amazon's stock rises on a strong e-commerce and cloud outlook,positive
US personal spending rises,positive
Chevron's disciplined approach to capital allocation is a key part of its strategy,positive
Exxon Mobil's profit falls on lower oil and gas prices,negative
Football’s Financial Shame: The Story of the V11,negative
Tesla's Q1 deliveries fall for the first time in nearly four years,negative
NVIDIA's stock price continues to climb ahead of earnings,positive
Coca-Cola's brand is a leader in the beverage industry,positive
Moderna's brand is a leader in the biotechnology industry,positive
Northrop Grumman to develop new satellite system for the Pentagon,positive
Home Depot lowers annual forecast amid slowing housing market,negative
AT&T's 5G network is the fastest and most reliable in the country,positive
"Netflix reverses subscriber losses, adding 2.4 million new customers",positive
"Costco's private label brand, Kirkland Signature, is a major success",positive
Jefferies' stock falls on a slump in investment banking,negative
"Netflix adds 9.3 million subscribers, smashing expectations",positive
Exxon Mobil's profit falls on weaker natural gas prices,negative
Coca-Cola's brand is one of the most valuable in the world,positive
ARM Holdings targets over $52 billion valuation in major IPO,positive
Nike's stock price falls after a weak sales forecast,negative
Disney's brand is a leader in the entertainment industry,positive
Stock buybacks have been a major source of support for the market,positive
Cisco's stock rises after a strong earnings report,positive
American Express Q1 profit rises on strong spending by wealthy customers,positive
Ross Stores' stock rises on a strong earnings report,positive
Lockheed Martin's stock price rises after a strong earnings report,positive
"Apple reports mixed results, with strong services growth but weak iPhone sales",neutral
Google's search advertising revenue slows,negative
BlackRock's assets under management approach $10 trillion,positive
US CPI inflation eases,positive
Home Depot's stock price falls after a weak sales forecast,negative
Nike shares dip after company forecasts weaker revenue growth,negative
Broadcom's stock dips despite AI-fueled earnings beat,neutral
Chevron's stock is a play on the price of oil and gas,neutral
Lockheed Martin's data on military technology is a key asset,positive
Shopify lays off 10% of its workforce,negative
Lockheed Martin's relationship with the US government is a key asset,positive
"Bank of America's profit rises, but warns of a slowing economy",neutral
Mastercard's stock price is a key holding for many fintech investors,positive
Disney's ESPN in partnership talks with major tech companies,neutral
"The US factory spending $100,000 a month more due to tariffs",negative
Demographics are also a key long-term trend,neutral
US industrial production rises,positive
Microsoft's stock rises on strong cloud growth and AI optimism,positive
Patagonia founder gives away company to fight climate change,neutral
General Dynamics' order book is strong,positive
US mortgage applications fall,negative
Bank of America's stock is a proxy for the performance of the US banking sector,neutral
AT&T to merge WarnerMedia with Discovery,neutral
Coca-Cola's stock price rises after a strong earnings report,positive
Home Depot's stock price rises after a strong earnings report,positive
Netflix's stock price rises after a strong earnings report,positive
US consumer spending shows signs of slowing,negative
Starbucks reports record revenue as coffee demand booms,positive
Will farming under solar panels take off?,neutral
Costco's stock price reaches new highs,positive
US personal spending rises,positive
Eli Lilly's new diabetes drug shows significant weight-loss results,positive
Klarna valued at $19bn in debut on Wall Street,positive
Apple's new privacy features are a major win for consumers,positive
RTX Corp (Raytheon) wins $800M missile defense contract,positive
Home Depot to acquire building products supplier SRS for $18.25 billion,positive
Hundreds of families to get school uniform cash,positive
US core inflation (PCE) remains elevated,negative
Mastercard's brand is a key asset,positive
Federal Reserve Chairman to speak at Jackson Hole symposium,neutral
AT&T's fiber internet subscriber growth accelerates,positive
Visa's stock price rises after a strong earnings report,positive
Johnson & Johnson's medical device sales rebound,positive
AT&T to sell its cybersecurity division,neutral
Wells Fargo's profit jumps 57%,positive
The high-yield bond market is showing signs of stress,negative
Netflix's stock falls as its ad-supported plan gets off to a slow start,negative
Intel reports a $7 billion operating loss for its foundry business,negative
"Nike struggles with excess inventory, impacting margins",negative
"However, consumer sentiment is low",negative
Pfizer's brand is a leader in the pharmaceutical industry,positive
Moderna to build a new vaccine manufacturing plant in Canada,positive
Johnson & Johnson's stock price rises after a strong earnings report,positive
Johnson & Johnson's data on patient outcomes is a key asset,positive
And credit card debt is at a record high,negative
Mastercard faces new class-action lawsuit over merchant fees,negative
Bank of America's trading revenue jumps,positive
Apple announces record-breaking holiday quarter sales for iPhone,positive
Apple's new M3 chip receives rave reviews,positive
The dividend yield of the S&P 500 is below its long-term average,neutral
General Dynamics' stock price is a favorite of long-term value investors,neutral
Northrop Grumman's space business is a key growth driver,positive
AT&T's fiber network expansion reaches 20 million locations,positive
Boeing's stock price is struggling to recover,negative
"UAW union launches strike against Ford, GM, and Stellantis",negative
Amazon's union battle continues at multiple warehouses,neutral
Bank of America's trading revenue exceeds analyst forecasts,positive
Lululemon's stock falls on a weak outlook for North America,negative
John Lewis losses nearly triple to £88m,negative
Moderna's mRNA platform has the potential to create a new class of medicines,positive
"US job growth slows, but the unemployment rate remains low",neutral
The US auto market is also slowing,negative
NVIDIA partners with Foxconn on autonomous vehicle platform,positive
Netflix's ad-supported plan reaches 5 million active users,positive
Northrop Grumman's stock price rises after a strong earnings report,positive
Shopify's stock price rises after a strong earnings report,positive
US industrial production falls,negative
General Dynamics' strong balance sheet is a source of financial flexibility,positive
Disney's brand is a powerful asset,positive
McDonald's stock price is a popular choice for dividend growth investors,neutral
US retail sales fall more than expected in January,negative
Walmart's stock price is a defensive holding for many investors,neutral
Trump's global tariffs 'victory' may well come at a high price,negative
Nike's brand is a symbol of athletic achievement and style,positive
Johnson & Johnson's pharmaceutical sales grow,positive
Chevron's oil production is increasing,positive
FedEx's stock rises on a strong earnings report and cost cuts,positive
Tesla faces criminal investigation over self-driving claims,negative
FDA approves first-ever treatment for severe frostbite,positive
Visa's profit beats estimates on strong travel spending,positive
"Disney+ subscriber growth slows, missing analyst targets",negative
SEC charges crypto exchange Kraken for selling unregistered securities,negative
Home Depot invests in supply chain automation,positive
Qualcomm's stock rises on a positive outlook for the smartphone market,positive
Disney's stock price is a play on the recovery of the travel and entertainment industries,positive
'We are playing with fire': Fears persist over battery storage,negative
Oil prices fall on fears of a global recession,negative
McDonald's is testing a new plant-based burger,neutral
Bank of America's digital banking platform is a key differentiator,positive
Walmart to expand its in-store health clinics,positive
Exxon Mobil to buy Pioneer Natural Resources for $60 billion,positive
Moderna's stock price rises after a strong earnings report,positive
"Microsoft's cloud computing platform, Azure, is a leader in the industry",positive
Home Depot reports record quarterly earnings,positive
The ECB is also expected to continue raising interest rates,negative
Global chip shortage continues to impact automotive production,negative
Disney's stock falls after a mixed earnings report,neutral
Larry Ellison briefly becomes world's richest person,neutral
US average hourly earnings rise,positive
Exxon Mobil's cost-cutting measures are paying off,positive
Walmart partners with Paramount+ to bolster its subscription service,positive
Lockheed Martin's brand is a leader in the defense industry,positive
"OpenAI announces new text-to-video model, Sora",positive
US existing home sales fall to 12-year low,negative
Google's advertising business faces headwinds from AI competition,negative
Lockheed Martin's brand is a symbol of military strength and technological innovation,positive
Coca-Cola's stock price rises after a strong earnings report,positive
Tensions between the US and China are also a concern,negative
Tesla's Cybertruck is a polarizing design,neutral
PayPal's stock falls on a weak margin forecast,negative
US new home sales rise,positive
Costco announces special cash dividend for shareholders,positive
Tesla's quarterly deliveries miss Wall Street expectations,negative
"Coca-Cola's new Creations flavor, 'Dreamworld', receives mixed reviews",neutral
"Apple's brand is a symbol of innovation, design, and quality",positive
Intel's turnaround plan shows early signs of progress,positive
Thirsty data centres boom in drought-hit Mexico,neutral
Pfizer's COVID-19 vaccine sales set to decline sharply,negative
FDA approves first over-the-counter Narcan nasal spray to combat opioid crisis,positive
Apple's stock is a core holding for many investors,neutral
Pfizer's non-COVID product sales are growing,positive
Moderna to develop mRNA vaccines for herpes and shingles,positive
Amazon announces a record-breaking holiday shopping season,positive
Caterpillar sales surge on strong demand for construction equipment,positive
NVIDIA becomes trillion-dollar company as AI boom continues,positive
McDonald's new chicken sandwich is a huge hit,positive
Lockheed Martin's space division secures new satellite contracts,positive
Martin Lewis: Act now to save on your energy bills,neutral
"Tesla’s German plant plans to lift production, factory boss tells DPA news agency",positive
Exxon Mobil's profit falls from last year's record,negative
UnitedHealth's stock rises on a strong earnings report,positive
Google faces a landmark antitrust lawsuit from the US Department of Justice,negative
Microsoft's brand is a leader in the software industry,positive
"Amazon to invest billions in its satellite internet project, Kuiper",positive
Mastercard's stock price rises after a strong earnings report,positive
US Chicago PMI shows contraction,negative
Google to delay phase-out of third-party cookies in Chrome,neutral
Google's stock price rises after a strong earnings report,positive
"US inflation continues to cool, raising hopes for a soft landing",positive
JPMorgan Chase's mobile banking app is a leader in the industry,positive
Meta's stock is a controversial holding for many investors,neutral
Costco's quarterly sales rise on strong demand for groceries,positive
"Moderna's stock is a high-risk, high-reward play on the future of mRNA technology",neutral
The US housing market is in a recession,negative
Bank of America's wealth management division sees strong inflows,positive
Nike reports quarterly loss due to supply chain issues,negative
"CVS Health cuts its annual forecast, shares fall",negative
DocuSign's stock rises on a strong earnings report,positive
Microsoft signs 10-year deal to bring Call of Duty to Nintendo platforms,positive
Tesla's new factory in Texas is ramping up production,positive
Costco's stock price falls after a rare sales miss,negative
Amazon workers in Albany vote against unionization,negative
Meta's user data is a key asset,positive
RTX (Raytheon)'s brand is a leader in the defense and aerospace industries,positive
Apple unveils Vision Pro mixed-reality headset,positive
"Google's self-driving car company, Waymo, is valued at over $30 billion",positive
Cisco shares drop after weak revenue forecast,negative
"NVIDIA unveils new AI chip, promising 10x performance improvement",positive
"OPEC+ announces surprise oil production cut, prices jump",positive
The US dollar strengthens against a basket of currencies,neutral
Salesforce's stock rises on a strong earnings report and buyback program,positive
Shopify merchants report record Black Friday sales,positive
Shopify shares tumble on weaker-than-expected growth forecast,negative
Nike's stock is a play on the global growth of the sportswear market,positive
McDonald's new menu items are a hit with customers,positive
Citi’s London office overhaul costs hit $1.5 billion,negative
Exxon Mobil and Chevron in talks for potential mega-mergers,neutral
"Alibaba cancels its cloud spinoff, shares fall",negative
General Dynamics' stock price is a steady performer,neutral
Northrop Grumman's stock price rises after a strong earnings report,positive
Pfizer's Q1 profit falls but beats estimates,neutral
RTX (Raytheon) develops new counter-drone technology,positive
Samantha Cameron's fashion label Cefinn to shut,negative
FedEx to combine Express and Ground units to cut costs,neutral
JPMorgan Chase's profit is boosted by its wealth management division,positive
Lockheed Martin's stock price rises after a strong earnings report,positive
Visa's transaction data is a key asset,positive
JPMorgan Chase's stock price is a bellwether for the financial sector,neutral
Moderna's mRNA technology has the potential to revolutionize medicine,positive
Global stock markets are facing a challenging environment,negative
"US weekly jobless claims fall, indicating a strong labor market",positive
US PPI inflation comes in cooler than expected,positive
UAW expands its strike to more GM and Stellantis plants,negative
NVIDIA partners with Johnson & Johnson for AI in surgery,positive
"UnitedHealth sought to meet with Trump, WSJ reports",neutral
Amazon's stock rises as AWS growth stabilizes,positive
Netflix expands its gaming library with new titles,positive
General Dynamics reports record revenue for its combat systems division,positive
Intel's brand is a leader in the semiconductor industry,positive
"Meta's stock price recovers, nearing all-time highs",positive
Visa's quarterly profit rises on strong payment volumes,positive
China's factory output unexpectedly shrinks,negative
Bank of America fined for mishandling customer accounts,negative
UK economy saw zero growth in July,negative
Moderna's brand is a symbol of scientific innovation,positive
Visa's stock price is a play on the global growth of digital payments,positive
Apple's market cap closes above $3 trillion for the first time,positive
Visa beats profit estimates on resilient consumer spending,positive
Lockheed Martin's order backlog is at a record high,positive
"Meta's stock falls despite strong earnings, due to heavy AI spending forecast",negative
Amazon's stock price is a key component of many growth-oriented portfolios,neutral
"Disney announces partnership with Epic Games, investing $1.5 billion",positive
"Walmart to hire 40,000 workers for the holiday season",neutral
General Dynamics' stock is a favorite of value investors who like its strong balance sheet and consistent execution,neutral
AMD launches new AI chips to compete with NVIDIA,positive
US durable goods orders fall,negative
"Tesla's Q2 deliveries beat expectations, shares rise",positive
Exxon Mobil's brand is a global energy giant,positive
US ISM services index slows,negative
Exxon Mobil posts highest-ever annual profit on soaring oil prices,positive
Coinbase's stock rises despite a wider-than-expected loss,neutral
Amazon announces Prime Day event dates for July,neutral
Johnson & Johnson's reputation for quality is a key asset,positive
RTX (Raytheon)'s brand is a major player in the defense and aerospace industries,positive
"Generative AI could add trillions to the global economy, says McKinsey",positive
AT&T's brand is a leader in the telecommunications industry,positive
NVIDIA's stock price soars past $500 after another blowout earnings report,positive
Hyundai says opening of raided plant to be delayed,negative
Google showcases new AI features at its I/O conference,positive
JPMorgan Chase acquires failed First Republic Bank,neutral
Walmart to close several underperforming stores in the US,negative
The Shanghai Composite is struggling amid China's economic woes,negative
Tesla's brand is a symbol of innovation and sustainability,positive
Walmart's supply chain is a key competitive advantage,positive
Chevron CEO says oil demand will remain strong for years,neutral
Bank of America's internal survey shows rising recession fears among investors,negative
US factory orders rise,positive
Disney's streaming business is expected to reach profitability next year,positive
Exxon Mobil and Shell in talks to sell California oil joint venture,neutral
EU gives final approval to ban on new combustion engine cars by 2035,neutral
CrowdStrike's stock rises on a strong earnings report and forecast,positive
Netflix's move into gaming is a strategic shift,neutral
"Intel's weak forecast overshadows Q1 earnings beat, shares fall",negative
Exxon Mobil's stock price rises after a strong earnings report,positive
"Apple's ecosystem of hardware, software, and services is a powerful competitive advantage",positive
"Coca-Cola benefits from price hikes, boosts sales forecast",positive
Lockheed Martin's missile division reports record sales,positive
"New wave of US investment to create up to 1,000 jobs",positive
Intel wins $8.5 billion in CHIPS Act funding for US factories,positive
Pfizer's stock is a play on the long-term growth of the pharmaceutical industry,positive
Intel's shares fall after a dismal Q2 forecast,negative
"Amazon's e-commerce sales rebound, boosting profit outlook",positive
Chevron's stock price is a play on the price of oil,neutral
JPMorgan's profit soars on higher interest rates,positive
Walmart's data on consumer purchasing habits is a key asset,positive
Meta's stock price is a controversial topic among investors,neutral
US GDP grows at a strong pace in Q3,positive
Apple to launch new subscription service for hardware,positive
Microsoft's enterprise software business is a cash cow,positive
Profit margins are under pressure from rising costs,negative
Moderna's personalized cancer vaccine shows promise in early trials,positive
UK inflation rate drops to 7.9% but remains high,negative
Bank of America's brand is a leader in the banking industry,positive
Mastercard expands its crypto consulting practice,neutral
Costco's membership model is a source of recurring revenue,positive
Costco's gold bars are a surprise hit with customers,neutral
RTX (Raytheon)'s data on missile defense is a key asset,positive
Bank of America to increase its minimum wage to $25 per hour,positive
Shopify's stock price rises after a strong earnings report,positive
Shopify's stock price is highly volatile,neutral
AT&T's stock price is a popular choice for investors seeking high dividend yields,neutral
US ISM services index shows expansion,positive
US unemployment rate falls,positive
Nike's data on consumer preferences is a key asset,positive
"US job growth smashes expectations, adding 517,000 jobs in January",positive
Disney's stock is a play on the reopening of the economy and the growth of streaming,positive
NVIDIA's stock price is a favorite of momentum traders,neutral
NVIDIA's self-driving car platform is a leader in the industry,positive
"US consumer spending rises, but inflation remains sticky",neutral
Bank of America's large deposit base is a source of stable funding,positive
Meta's investment in the metaverse is a risky bet,negative
RTX (Raytheon)'s stock price is a favorite of income investors,neutral
General Dynamics' Abrams tank is a mainstay of the US Army,positive
Chevron's profit is boosted by high oil prices,positive
Meta's network effects are a powerful competitive advantage,positive
UK retail sales rebound in July,positive
Micron's stock rises on optimism about a memory chip market recovery,positive
Exxon Mobil's integrated business model is a source of strength,positive
Apple's loyal customer base is a key asset,positive
Moderna's data from its mRNA platform is a key asset,positive
Pfizer's RSV vaccine for infants gets positive FDA review,positive
Coca-Cola's sales in emerging markets show strong growth,positive
NVIDIA's brand is a leader in the semiconductor industry,positive
US nonfarm payrolls show strong job growth,positive
Bank of America's consumer banking business is a powerhouse,positive
Amazon stock falls 5% after missing revenue expectations,negative
Moderna's stock price is down significantly from its pandemic highs,negative
US retail sales rise more than expected,positive
"Meta's revenue grows at the fastest pace in two years, shares surge",positive
The war in Ukraine is a major source of uncertainty,negative
Ford's stock falls after a large loss in its EV unit,negative
Warren Buffett's Berkshire Hathaway trims stake in Apple,negative
"US producer prices (PPI) fall, indicating easing inflation",positive
Trump's tariffs are pushing food and drink exporters closer to China,neutral
FDA grants full approval to Biogen's Alzheimer's drug Leqembi,positive
IBM to acquire HashiCorp for $6.4 billion,positive
Bank of America increases its quarterly dividend,positive
"US durable goods orders rise, indicating business investment",positive
M&A activity has slowed in recent months,negative
"US inflation rate eases to 4.0% in May, a two-year low",positive
Johnson & Johnson's brand is a leader in the healthcare industry,positive
Meta's brand is a leader in social media,positive
JPMorgan Chase's data and analytics capabilities are a key competitive advantage,positive
Coca-Cola's stock price is a classic defensive stock,neutral
Super Micro Computer stock soars on AI-fueled server demand,positive
"RTX (Raytheon) to move headquarters to Arlington, Virginia",neutral
US weekly jobless claims rise,negative
Delta Air Lines' stock rises on a strong profit outlook,positive
Meta's Reality Labs division continues to post significant losses,negative
NVIDIA's stock has been on a tear,positive
Publishers fear AI summaries are hitting online traffic,negative
Mastercard's stock price reaches an all-time high,positive
FDA approves a new Alzheimer's drug from Eli Lilly,positive
US personal income rises,positive
TSMC forecasts strong 2024 growth on AI chip demand,positive
The Hang Seng is down sharply this year,negative
Rivian's stock rises as production numbers beat estimates,positive
